sp;site;orig;ID;ind;blk;trt;DOY;size_end;Torig;Porig;Tdest;Pdest
RAN;VES;GUD;G_C_5;v97;v2;ww;246;5.5;5.87;1925;8.67;3029
RAN;VES;SKJ;S_P_11;v98;v2;wa;246;4;6.58;2725;8.67;3029
RAN;VES;VES;V_C_6;v99;v2;c;246;3;8.67;3029;8.67;3029
RAN;VES;VES;V_C_9;v100;v2;c;246;3.5;8.67;3029;8.67;3029
RAN;VES;VES;V_P_8;v101;v2;c;246;4;8.67;3029;8.67;3029
RAN;VES;SKJ;S_C_4;v102;v2;wa;246;2.5;6.58;2725;8.67;3029
RAN;VES;SKJ;S_P_6;v103;v2;wa;246;4;6.58;2725;8.67;3029
RAN;VES;GUD;G_P_10;v104;v2;ww;246;3.5;5.87;1925;8.67;3029
RAN;VES;GUD;G_C_4;v105;v2;ww;246;3.5;5.87;1925;8.67;3029
RAN;VES;SKJ;S_C_8;v106;v2;wa;246;2;6.58;2725;8.67;3029
RAN;VES;GUD;G_C_7;v107;v2;ww;246;NA;5.87;1925;8.67;3029
RAN;VES;SKJ;S_C_9;v108;v2;wa;246;5;6.58;2725;8.67;3029
RAN;VES;GUD;G_C_11;v109;v2;ww;246;6;5.87;1925;8.67;3029
RAN;VES;GUD;G_P_5;v110;v2;ww;246;4;5.87;1925;8.67;3029
RAN;VES;GUD;G_C_9;v111;v2;ww;246;3.5;5.87;1925;8.67;3029
RAN;VES;SKJ;S_C_10;v112;v2;wa;246;7.5;6.58;2725;8.67;3029
RAN;VES;SKJ;S_C_5;v113;v2;wa;246;5;6.58;2725;8.67;3029
RAN;VES;GUD;G_C_8;v114;v2;ww;246;2.5;5.87;1925;8.67;3029
RAN;VES;VES;V_P_5;v115;v2;c;246;4.5;8.67;3029;8.67;3029
RAN;VES;VES;V_P_4;v116;v2;c;246;3;8.67;3029;8.67;3029
RAN;VES;GUD;G_P_6;v117;v2;ww;246;4;5.87;1925;8.67;3029
RAN;VES;VES;V_C_5;v118;v2;c;246;4;8.67;3029;8.67;3029
RAN;VES;SKJ;S_P_5;v119;v2;wa;246;5.5;6.58;2725;8.67;3029
LEO;GUD;GUD;G_C_1;Lg1;Lg1;c;245;3.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_7;Lg2;Lg1;c;245;3.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_3;Lg3;Lg1;c;245;3;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_4;Lg4;Lg1;c;245;3.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_8;Lg5;Lg1;c;245;2.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_5;Lg6;Lg1;c;245;4;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_7;Lg7;Lg1;c;245;2.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_4;Lg8;Lg1;c;245;4;5.87;1925;5.87;1925
LEO;GUD;GUD;G_C_2;Lg9;Lg1;c;245;2.5;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_8;Lg10;Lg1;c;245;4;5.87;1925;5.87;1925
LEO;GUD;GUD;G_P_6;Lg11;Lg1;c;245;2.5;5.87;1925;5.87;1925
